RunTime,ModelScore,ModelRow,ModelColumn,MatchTime,AlgoriTime,BitmapTime,Flag
2018-07-25 16:07:30:58,0.969,433.03,1276.433,9.705,121.183,353.506,True
2018-07-25 16:07:31:24,0.918,428.141,1282.018,10.801,112.613,343.010,True
2018-07-25 16:07:31:91,0.931,430.852,1279.509,10.126,116.315,343.126,True
2018-07-25 16:07:32:56,0.868,432.801,1279.235,9.955,114.356,347.985,True
2018-07-25 16:07:33:22,0.93,433.086,1280.22,9.416,121.946,340.253,True
2018-07-25 16:07:33:89,0.89,437.262,1284.544,10.138,114.448,345.841,True
2018-07-25 16:07:34:55,0.926,427.937,1279.559,9.928,116.584,344.481,True
2018-07-25 16:07:35:24,0.893,432.047,1289.549,10.188,120.787,343.336,True
2018-07-25 16:07:35:89,0.929,434.564,1275.632,10.411,116.616,346.038,True
2018-07-25 16:07:36:56,0.926,430.626,1288.137,10.854,115.279,348.264,True
2018-07-25 16:07:37:24,0.919,430.379,1281.687,9.586,119.394,345.284,True
2018-07-25 16:07:37:89,0.907,430.063,1280.798,9.306,113.872,341.745,True
2018-07-25 16:07:38:56,0.968,425.014,1276.21,9.970,120.266,343.989,True
2018-07-25 16:07:39:22,0.981,429.309,1276.743,9.871,117.130,334.020,True
2018-07-25 16:07:39:89,0.937,426.895,1278.511,12.444,115.828,341.531,True
2018-07-25 16:07:40:55,0.937,427.317,1281.38,10.215,129.978,336.689,True
2018-07-25 16:07:41:22,0.91,434.361,1274.742,10.463,119.073,348.830,True
2018-07-25 16:07:41:91,0.925,431.303,1284.687,10.059,123.787,348.125,True
2018-07-25 16:07:42:56,0.927,439.922,1289.734,10.144,119.739,334.215,True
2018-07-25 16:07:43:20,0.99,447.29,1286.059,9.638,108.582,342.412,True
2018-07-25 16:07:43:87,0.966,433.149,1281.118,11.197,116.583,343.421,True
2018-07-25 16:07:44:53,0.936,434.36,1282.163,10.270,111.412,343.011,True
2018-07-25 16:07:45:19,0.981,431.085,1279.494,9.740,114.923,333.046,True
2018-07-25 16:07:45:86,0.982,430.924,1282.948,9.532,115.062,340.854,True
2018-07-25 16:07:46:53,0.958,430.542,1275.101,10.136,125.564,341.388,True
2018-07-25 16:07:47:19,0.955,436.801,1278.534,10.822,116.790,346.583,True
2018-07-25 16:07:47:84,0.986,429.296,1275.826,10.230,111.919,342.936,True
2018-07-25 16:07:48:52,0.892,437.089,1280.3,9.876,124.145,344.998,True
2018-07-25 16:07:49:18,0.92,429.752,1281.618,9.552,114.085,347.090,True
2018-07-25 16:07:49:84,0.924,437.647,1280.779,9.770,113.934,346.800,True
2018-07-25 16:07:50:49,0.926,444.843,1284.792,10.330,108.395,335.080,True
2018-07-25 16:07:51:15,0.913,436.428,1282.717,14.128,108.012,348.284,True
2018-07-25 16:07:51:82,0.937,438.815,1279.116,9.655,116.094,344.135,True
2018-07-25 16:07:52:48,0.947,442.866,1277.813,10.773,108.524,349.611,True
2018-07-25 16:07:53:13,0.924,432.702,1285.757,10.248,116.777,333.466,True
2018-07-25 16:07:53:79,0.919,436.002,1284.815,9.483,116.555,340.854,True
2018-07-25 16:07:54:46,0.862,431.268,1277.212,10.690,111.560,344.923,True
2018-07-25 16:07:55:12,0.921,436.348,1279.176,10.112,119.068,344.171,True
2018-07-25 16:07:55:81,0.923,427.592,1281.899,10.215,118.321,348.986,True
2018-07-25 16:07:56:46,0.92,437.336,1277.375,9.953,113.958,347.318,True
2018-07-25 16:07:57:10,0.941,430.484,1279.249,9.129,107.618,335.746,True
2018-07-25 16:07:57:78,0.94,431.856,1280.417,10.398,125.115,337.242,True
2018-07-25 16:07:58:45,0.916,428.866,1280.818,9.874,114.723,345.590,True
2018-07-25 16:07:59:10,0.887,439.218,1277.696,10.232,115.513,342.509,True
2018-07-25 16:07:59:76,0.894,429.238,1285.722,10.149,119.238,339.399,True
2018-07-25 16:07:00:43,0.925,442.581,1288.305,9.936,116.888,347.204,True
2018-07-25 16:07:01:09,0.925,430.888,1283.661,9.363,118.849,334.115,True
2018-07-25 16:07:01:73,0.894,434.456,1285.128,9.224,107.995,334.871,True
2018-07-25 16:07:02:39,0.912,434.155,1278.625,15.337,104.356,344.102,True
2018-07-25 16:07:03:04,0.905,435.115,1278.846,9.141,117.266,335.190,True
2018-07-25 16:07:03:70,0.99,433.784,1279.666,9.742,117.369,335.393,True
2018-07-25 16:07:04:35,0.918,432.185,1282.104,9.760,116.809,335.769,True
2018-07-25 16:07:05:01,0.93,433.732,1282.683,10.102,114.983,342.329,True
2018-07-25 16:07:05:68,0.922,433.516,1280.722,9.789,126.790,339.074,True
2018-07-25 16:07:06:37,0.922,440.467,1286.937,15.024,128.555,349.333,True
2018-07-25 16:07:07:04,0.911,436.562,1288.013,10.349,119.610,333.437,True
2018-07-25 16:07:07:70,0.918,445.661,1289.597,9.625,114.591,331.927,True
2018-07-25 16:07:08:36,0.894,430.892,1285.815,9.465,119.155,338.362,True
2018-07-25 16:07:09:03,0.915,428.426,1274.194,9.685,121.002,341.474,True
2018-07-25 16:07:09:67,0.917,427.141,1280.748,10.062,113.480,333.324,True
2018-07-25 16:07:10:32,0.921,434.553,1290.292,10.055,113.703,337.950,True
2018-07-25 16:07:10:98,0.926,433.55,1277.025,9.716,120.144,334.945,True
2018-07-25 16:07:11:65,0.902,432.142,1277.596,10.016,121.459,333.846,True
2018-07-25 16:07:12:30,0.914,433.461,1283.884,9.962,122.944,332.980,True
2018-07-25 16:07:12:97,0.926,424.52,1281.561,10.342,118.267,349.125,True
2018-07-25 16:07:13:63,0.924,432.145,1285.686,9.075,116.430,337.431,True
2018-07-25 16:07:14:30,0.974,432.415,1282.713,14.768,114.677,342.546,True
2018-07-25 16:07:14:97,0.933,438.698,1287.421,10.141,123.707,344.786,True
2018-07-25 16:07:15:64,0.927,431.22,1278.182,10.076,119.757,345.291,True
2018-07-25 16:07:16:31,0.952,447.671,1278.873,9.828,129.303,332.264,True
2018-07-25 16:07:16:97,0.908,441.206,1281.031,9.642,115.282,339.801,True
2018-07-25 16:07:17:61,0.91,421.687,1281.842,10.274,119.512,333.611,True
2018-07-25 16:07:18:29,0.901,431.083,1285.522,9.960,114.319,341.181,True
2018-07-25 16:07:18:94,0.914,432.746,1275.74,10.200,109.566,351.594,True
2018-07-25 16:07:19:61,0.953,439.163,1284.573,9.911,122.797,345.633,True
2018-07-25 16:07:20:30,0.959,438.801,1283.019,9.976,116.270,353.254,True
2018-07-25 16:07:20:96,0.274,1060.858,1614.599,10.383,108.738,339.294,True
2018-07-25 16:07:21:62,0.964,431.053,1282.015,9.805,114.520,349.432,True
2018-07-25 16:07:22:29,0.973,433.609,1274.078,10.230,119.075,343.775,True
2018-07-25 16:07:22:96,0.968,441.927,1278.107,10.054,117.401,347.119,True
2018-07-25 16:07:23:62,0.961,430.621,1276.808,9.894,108.234,351.121,True
2018-07-25 16:07:24:28,0.953,433.729,1287.867,9.910,119.637,342.102,True
2018-07-25 16:07:24:97,0.969,439.628,1275.615,13.015,121.542,347.807,True
2018-07-25 16:07:25:62,0.972,431.897,1276.727,10.567,116.934,348.535,True
2018-07-25 16:07:26:30,0.965,432.904,1284.293,9.741,125.430,344.736,True
2018-07-25 16:07:26:97,0.959,427.33,1274.624,10.010,119.197,344.690,True
2018-07-25 16:07:27:64,0.958,439.792,1281.897,9.702,116.221,349.994,True
2018-07-25 16:07:28:30,0.969,435.727,1277.357,9.655,108.836,346.683,True
2018-07-25 16:07:28:95,0.95,439.043,1287.465,9.671,117.233,344.838,True
2018-07-25 16:07:29:62,0.975,446.256,1282.976,9.978,120.692,336.350,True
2018-07-25 16:07:30:28,0.962,430.668,1278.712,9.310,107.701,347.510,True
2018-07-25 16:07:30:95,0.955,437.653,1278.855,10.606,116.095,346.520,True
2018-07-25 16:07:31:62,0.968,438.099,1281.551,15.369,110.938,344.767,True
2018-07-25 16:07:32:28,0.958,436.899,1285.35,10.123,114.357,346.748,True
2018-07-25 16:07:32:95,0.965,437.157,1279.584,10.459,119.346,344.871,True
2018-07-25 16:07:33:64,0.968,431.034,1276.288,10.175,126.598,348.113,True
2018-07-25 16:07:34:30,0.97,435.017,1288.516,9.547,117.297,345.897,True
2018-07-25 16:07:34:98,0.965,428.272,1280.376,10.131,119.181,348.349,True
2018-07-25 16:07:35:66,0.969,436.34,1282.932,9.434,122.797,345.826,True
2018-07-25 16:07:36:38,0.936,439.232,1285.716,18.103,144.364,344.530,True
2018-07-25 16:07:37:08,0.916,427.396,1284.583,9.916,117.385,346.376,True
